Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
28,GIRARD ,ST ,NE ,5,3500,90,3500    0090,5
1835,H ,ST ,NE ,5,4507,91,4507    0091,5
1915,H ,ST ,NE ,5,4506,128,4506    0128,5
704,HAMILTON ,ST ,NE ,5,3751,48,3751    0048,5
1322,HAMLIN ,ST ,NE ,5,3959,19,3959    0019,5
2603,HAMLIN ,ST ,NE ,5,4342,9,4342    0009,5
2603,HAMLIN ,ST ,NE ,5,4342,9,4342    0009,5
24,HANOVER ,PL ,NW ,5,617,60,0617    0060,5
39,HANOVER ,PL ,NW ,5,617,76,0617    0076,5
251,HAWAII ,AVE ,NE ,5,3672,16,3672    0016,5
1108,HOLBROOK ,ST ,NE ,5,4068,173,4068    0173,5
1109,HOLBROOK ,TER ,NE ,5,4058,141,4058    0141,5
1114,HOLBROOK ,ST ,NE ,5,4068,170,4068    0170,5
1208,HOLBROOK ,TER ,NE ,5,4055,182,4055    0182,5
555,INGRAHAM ,ST ,NE ,5,3758,36,3758    0036,5
1311,IRVING ,ST ,NE ,5,3959,24,3959    0024,5
1433,IRVING ,ST ,NE ,5,4016,17,4016    0017,5
1700,IRVING ,ST ,NE ,5,4138,24,4138    0024,5
719,KEARNY ,ST ,NE ,5,3650,24,3650    0024,5
1713,KEARNY ,ST ,NE ,5,4142,27,4142    0027,5
2123,KEARNY ,ST ,NE ,5,4220,47,4220    0047,5
